"","video","frame_index","slidedMother","slidedPatient","slidedTherapist","logSlidedFather","logSlidedMother","logSlidedPatient","logSlidedTherapist"
"66","F1044Q1",66,8.1362e-06,0.008088938,0.00353902,NA,9.89025059501818,14.9885407488217,14.3235448355495
"67","F1044Q1",67,8.1362e-06,0.01162878,0.003402904,NA,9.89025059501818,15.3775763061042,14.2930289728676
"68","F1044Q1",68,8.1362e-06,0.014261828,0.003402904,NA,9.89025059501818,15.6504542474411,14.2930289728676
"69","F1044Q1",69,8.1362e-06,0.014984862,0.003575318,NA,9.89025059501818,15.7502333714294,14.3533241300595
"70","F1044Q1",70,4.0681e-06,0.013653268,0.00444646,NA,9.19710341445823,15.5418930513735,14.5166760471325
"71","F1044Q1",71,4.0681e-06,0.011167846,0.00436479,NA,9.19710341445823,15.2823302135665,14.4965472481892
"72","F1044Q1",72,4.0681e-06,0.009360266,0.004147004,NA,9.19710341445823,15.1672087410619,14.4353138779938
"73","F1044Q1",73,4.0681e-06,0.008745686,0.004019962,NA,9.19710341445823,15.1290334643411,14.3821730531947
"74","F1044Q1",74,4.0681e-06,0.009429564,0.004473682,NA,9.19710341445823,15.1922184140165,14.4865179378549
"75","F1044Q1",75,0,0.01025804,0.003548092,NA,NA,15.3444804156485,14.3067179371345
"76","F1044Q1",76,2.44086e-05,0.010833454,0.003157894,NA,10.9888628836863,15.4404871772245,14.1657222392071
"77","F1044Q1",77,4.4749e-05,0.010502068,0.003284936,NA,10.8976996471333,15.4097006344425,14.2036735868751
"78","F1044Q1",78,9.76342e-05,0.00946572,0.003602542,NA,11.1858167251,15.3221114812435,14.3168357655223
"79","F1044Q1",79,0.000130179,0.00873364,0.00324864,NA,11.2084987828595,15.2536194445822,14.2405622158193
"80","F1044Q1",80,0.0002074728,0.010173678,0.003194194,NA,11.3951072462597,15.3847452858579,14.2226399218314
"81","F1044Q1",81,0.0001912004,0.012671146,0.00355717,NA,11.1753847885261,15.580010435641,14.3564495404503
"82","F1044Q1",82,0.0001830643,0.014816152,0.003802178,NA,11.0732206470353,15.7262107085729,14.413985682842
"83","F1044Q1",83,0.0001342472,0.01646106,0.003856624,NA,10.5602311537203,15.8516344315851,14.4282773442805
"84","F1044Q1",84,0.000126111,0.01754862,0.003693286,NA,10.5026947392299,15.9464735556869,14.3800453622675
"85","F1044Q1",85,4.88172e-05,0.01719314,0.003629766,NA,10.0929831490723,15.9212001681507,14.3568793254124
"86","F1044Q1",86,5.28853e-05,0.0160634,0.00380218,NA,10.1943494260993,15.8549553724815,14.3985596059397
"87","F1044Q1",87,4.88172e-05,0.0153524,0.003339386,NA,10.0929831490723,15.81723345281,14.2707439148224
"88","F1044Q1",88,5.69534e-05,0.01555726,0.003176046,NA,10.3676362212393,15.8285133978113,14.224383415779
"89","F1044Q1",89,3.25448e-05,0.01581634,0.003348458,NA,10.1605606670903,15.8457408331449,14.2749821843689
"90","F1044Q1",90,3.25448e-05,0.01653334,0.00362069,NA,10.1605606670903,15.8938094840746,14.359553394533
"91","F1044Q1",91,4.06809e-05,0.01768418,0.00362069,NA,10.3308342362416,15.9611047258591,14.359553394533
"92","F1044Q1",92,3.66128e-05,0.0175908,0.00368421,NA,10.0997851760549,15.9555767551003,14.3827194313882
"93","F1044Q1",93,2.84766e-05,0.01608748,0.003729582,NA,9.73358107983224,15.8526026467488,14.3967111404766
"94","F1044Q1",94,2.84766e-05,0.01601218,0.004373866,NA,9.73358107983224,15.8477467088929,14.5181523166798
"95","F1044Q1",95,3.25447e-05,0.01573502,0.004419238,NA,9.59946166348874,15.8305077608769,14.529328391837
"96","F1044Q1",96,1.22043e-05,0.01431606,0.004065336,NA,9.19710341445823,15.7436475329252,14.4317312429098
"97","F1044Q1",97,8.1362e-06,0.01348456,0.004328494,NA,9.19710341445823,15.6862307312369,14.5064745767099
"98","F1044Q1",98,4.0681e-06,0.0138732,0.004646098,NA,9.19710341445823,15.718330051738,14.5839310962605
"99","F1044Q1",99,1.22043e-05,0.01343636,0.003892922,NA,9.54367700473821,15.6875649647366,14.4320517985233
"100","F1044Q1",100,1.22043e-05,0.01259282,0.003856624,NA,9.54367700473821,15.623531434705,14.4231613588945
"101","F1044Q1",101,1.62724e-05,0.0120385,0.004110706,NA,9.42815247464488,15.5757608161919,14.4976959893708
"102","F1044Q1",102,1.62724e-05,0.01209274,0.004310344,NA,9.42815247464488,15.5800527992248,14.5401627101257
"103","F1044Q1",103,3.66128e-05,0.01343336,0.003956442,NA,9.77274845862873,15.6626722208607,14.451592101209
"104","F1044Q1",104,3.66128e-05,0.01593988,0.003920144,NA,9.77274845862873,15.7966612920126,14.4403214001326
"105","F1044Q1",105,4.4749e-05,0.01962434,0.003811252,NA,10.0474015307958,15.9914409291164,14.4110009689304
"106","F1044Q1",106,4.4749e-05,0.02489344,0.004137932,NA,10.0474015307958,16.2456464250362,14.4782956961278
"107","F1044Q1",107,4.4749e-05,0.03128926,0.003874774,NA,10.0474015307958,16.4964006724468,14.420178756448
"108","F1044Q1",108,2.44086e-05,0.0368988,0.004137932,NA,9.79435657086758,16.6728209479908,14.4895037671156
"109","F1044Q1",109,1.62724e-05,0.04076702,0.004219602,NA,9.74640955879229,16.7851458748091,14.5140243298173
"110","F1044Q1",110,4.0681e-06,0.045295,0.004555354,NA,9.19710341445823,16.89876265935,14.593354917538
"111","F1044Q1",111,0,0.05188966,0.00384755,NA,NA,17.0271810339934,14.4003388257896
"112","F1044Q1",112,0,0.05810172,0.003811252,NA,NA,17.1326046347544,14.3908131284819
"113","F1044Q1",113,0,0.05936702,0.003611616,NA,NA,17.1574370275884,14.3405504972557
"114","F1044Q1",114,0,0.06399142,0.0038657,NA,NA,17.2403512997418,14.4018966573681
"115","F1044Q1",115,0,0.066513,0.003548096,NA,NA,17.2835911782315,14.3277609289795
"116","F1044Q1",116,0,0.06093962,0.003684212,NA,NA,17.1812816358896,14.3821475846159
